scope_level,province,city,district,candidate_count,competition_pool_count,winner_uid,winner,winner_level,winner_private,winner_tags,decision_basis,decision_detail,evidence_strength,status,ranking_system,comparison_group,ranking_id,ranking_edition,ranking_list,ranking_category,ranking_scale_field,ranking_display,ranking_reference,ranking_source_url,location_basis,location_evidence,runner_up_uid,runner_up,runner_up_level,runner_up_system,runner_up_same_scale,unresolved_reason,comparable_candidates,needs_ranking_backfill,notes
district,福建省,厦门市,海沧区,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,厦门市,湖里区,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,厦门市,集美区,11,11,4135010386,福州大学,本科,no,211|双一流,prestige_tag,211 标签优先于无重点标签（国家官方重点建设名单）,strong,resolved_strong,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 77,77,https://www.shanghairanking.cn/rankings/bcur/2026,campus,profile_campus,4135010385,华侨大学,本科,shanghairanking-bcur,yes,,福州大学|华侨大学,no,
district,福建省,厦门市,思明区,4,4,4135010384,厦门大学,本科,no,985|211|双一流,prestige_tag,985 标签优先于无重点标签（国家官方重点建设名单）,strong,resolved_strong,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 25,25,https://www.shanghairanking.cn/rankings/bcur/2026,campus,profile_campus,4135011062,厦门理工学院,本科,shanghairanking-bcur,yes,,厦门大学|厦门理工学院,no,
district,福建省,厦门市,同安区,1,1,4135014112,厦门东海职业技术学院,专科,yes,,single_candidate,该行政单元在现行口径下只有 1 个候选，无需比较,policy,resolved_policy,shanghairanking-bcvcr-private-vocational,shanghairanking-bcvcr-private-vocational,shanghairanking-bcvcr-private-vocational,2026,民办高职专科院校排名,,ranking,2026软科民办高职专科 100+,100+,https://www.shanghairanking.cn/rankings/bcvcr/2026633,campus,verified_campus,,,,,no,,厦门东海职业技术学院,no,
district,福建省,厦门市,翔安区,6,6,4135010384,厦门大学,本科,no,985|211|双一流,level_order,本科层次优先于更低层次候选（项目层次政策）,policy,resolved_policy,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 25,25,https://www.shanghairanking.cn/rankings/bcur/2026,campus,profile_campus,,,,,no,,厦门大学,no,no comparable second place: the deciding rule set aside the other 5 candidate(s) without leaving anybody on the winner's own scale
district,福建省,漳州市,东山县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,漳州市,华安县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,漳州市,龙海区,3,3,4135010384,厦门大学,本科,no,985|211|双一流,prestige_tag,985 标签优先于无重点标签（国家官方重点建设名单）,strong,resolved_strong,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 25,25,https://www.shanghairanking.cn/rankings/bcur/2026,campus,historical_campus,,,,,no,,厦门大学,no,no comparable second place: the deciding rule set aside the other 2 candidate(s) without leaving anybody on the winner's own scale
district,福建省,漳州市,龙文区,1,1,4135014115,漳州理工职业学院,专科,yes,,single_candidate,该行政单元在现行口径下只有 1 个候选，无需比较,policy,resolved_policy,shanghairanking-bcvcr-private-vocational,shanghairanking-bcvcr-private-vocational,shanghairanking-bcvcr-private-vocational,2026,民办高职专科院校排名,,ranking,2026软科民办高职专科 40,40,https://www.shanghairanking.cn/rankings/bcvcr/2026633,campus,profile_campus,,,,,no,,漳州理工职业学院,no,
