高校代码,学校名称,省级地区,主体城市,办学层次,历史招生批次摘要,民办,985,211,双一流,当前状态,参与当前榜单,地图排序参考,软科最新,软科主榜参考,QS最新,THE最新,ARWU最新,校区记录数,县区证据数,可落最低法定边界,录取事实数,最新录取年份,财务事实数,最新财务年份,学校官网
4111010011,北京工商大学,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科分类标签 财11,2026软科分类标签 财11,,,,,3,0,是,0,,0,,https://www.btbu.edu.cn/
4111010012,北京服装学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,,,,,,,3,0,是,0,,0,,https://www.bift.edu.cn/
4111010013,北京邮电大学,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科主榜 50,2026软科主榜 50,,,,,4,0,是,0,,0,,https://www.bupt.edu.cn
4111010015,北京印刷学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科主榜 281,2026软科主榜 281,,,,,1,0,是,0,,0,,https://www.bigc.edu.cn/
4111010016,北京建筑大学,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科主榜 178,2026软科主榜 178,,,,,3,0,是,0,,0,,https://www.bucea.edu.cn/
4111010017,北京石油化工学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科主榜 300,2026软科主榜 300,,,,,6,0,是,0,,0,,https://www.bipt.edu.cn/
4111010018,北京电子科技学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科主榜 233,2026软科主榜 233,,,,,1,0,是,0,,0,,https://www.besti.edu.cn/
4111010019,中国农业大学,北京市,北京市,本科,,否,是,是,是,现役候选,是,2026软科主榜 24,2026软科主榜 24,,,,,3,0,是,0,,0,,https://www.cau.edu.cn/
4111010020,北京农学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科主榜 281,2026软科主榜 281,,,,,2,0,是,0,,0,,https://www.bua.edu.cn/
4111010022,北京林业大学,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科主榜 83,2026软科主榜 83,,,,,1,0,是,0,,0,,https://www.bjfu.edu.cn/
4111010023,北京协和医学院,北京市,北京市,本科,,否,否,否,是,现役候选,是,2026软科分类标签 医1,2026软科分类标签 医1,,,,,1,0,是,0,,0,,https://www.pumc.edu.cn
