id,uid,universityName,rankingId,agency,rankingName,edition,rank,rankDisplay,rankLower,rankUpper,rankMidpoint,referenceRank,referenceRankOrRank,nationalRank,score,category,scope,sourceUrl,publishedAt,retrievedAt,verified,notes,displayLabel
RANK_SR_BCVCR_2026_4153012349,4153012349,云南国土资源职业学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,160,160,,,160.0,312,312,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 160 · 总榜参考 312
RANK_SR_BCVCR_2026_4141014308,4141014308,河南艺术职业学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,8,8,,,8.0,312,312,,,文艺,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职文艺 8 · 总榜参考 312
RANK_SR_BCVCR_2026_4137014688,4137014688,青岛幼儿师范高等专科学校,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,10,10,,,10.0,312,312,,,师范,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职师范 10 · 总榜参考 312
RANK_SR_BCVCR_2026_4163012974,4163012974,青海建筑职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,161,161,,,161.0,313,313,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 161 · 总榜参考 313
RANK_SR_BCVCR_2026_4132014295,4132014295,苏州工业园区服务外包职业学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,162,162,,,162.0,314,314,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 162 · 总榜参考 314
RANK_SR_BCVCR_2026_4143013044,4143013044,湖南城建职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,163,163,,,163.0,315,315,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 163 · 总榜参考 315
RANK_SR_BCVCR_2026_4152014129,4152014129,贵阳职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,164,164,,,164.0,317,317,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 164 · 总榜参考 317
RANK_SR_BCVCR_2026_4137014507,4137014507,威海海洋职业学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,23,23,,,23.0,318,318,,,农林,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职农林 23 · 总榜参考 318
RANK_SR_BCVCR_2026_4163014519,4163014519,西宁城市职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,71,71,,,71.0,318,318,,,综合,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职综合 71 · 总榜参考 318
RANK_SR_BCVCR_2026_4137014196,4137014196,枣庄职业学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,165,165,,,165.0,320,320,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 165 · 总榜参考 320
RANK_SR_BCVCR_2026_4135014331,4135014331,泉州幼儿师范高等专科学校,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,11,11,,,11.0,321,321,,,师范,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职师范 11 · 总榜参考 321
RANK_SR_BCVCR_2026_4137014343,4137014343,济南护理职业学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,23,23,,,23.0,321,321,,,医药,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职医药 23 · 总榜参考 321
RANK_SR_BCVCR_2026_4121012900,4121012900,辽宁石化职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,166,166,,,166.0,322,322,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 166 · 总榜参考 322
RANK_SR_BCVCR_2026_4137013317,4137013317,山东经贸职业学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,39,39,,,39.0,323,323,,,财经,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职财经 39 · 总榜参考 323
RANK_SR_BCVCR_2026_4143012601,4143012601,湖南司法警官职业学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,3,3,,,3.0,323,323,,,政法,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职政法 3 · 总榜参考 323
RANK_SR_BCVCR_2026_4121014289,4121014289,辽宁医药职业学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,24,24,,,24.0,324,324,,,医药,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职医药 24 · 总榜参考 324
RANK_SR_BCVCR_2026_4113013398,4113013398,河北公安警察职业学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,4,4,,,4.0,325,325,,,政法,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职政法 4 · 总榜参考 325
RANK_SR_BCVCR_2026_4132012106,4132012106,泰州职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,167,167,,,167.0,325,325,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 167 · 总榜参考 325
RANK_SR_BCVCR_2026_4121014076,4121014076,辽宁装备制造职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,167,167,,,167.0,325,325,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 167 · 总榜参考 325
RANK_SR_BCVCR_2026_4136013424,4136013424,宜春职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,72,72,,,72.0,326,326,,,综合,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职综合 72 · 总榜参考 326
RANK_SR_BCVCR_2026_4151012637,4151012637,四川化工职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,169,169,,,169.0,327,327,,,理工,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职理工 169 · 总榜参考 327
RANK_SR_BCVCR_2026_4144014592,4144014592,广州卫生职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,25,25,,,25.0,327,327,,,医药,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职医药 25 · 总榜参考 327
RANK_SR_BCVCR_2026_4145014313,4145014313,广西卫生职业技术学院,shanghairanking-bcvcr,ShanghaiRanking,软科中国高职院校排名,2026,25,25,,,25.0,327,327,,,医药,China-mainland,https://www.shanghairanking.cn/rankings/bcvcr/2026623,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科高职医药 25 · 总榜参考 327
